pmcid,paper_type,vaccine_name,vaccine_name_generated,vaccine_target_pathogen,vaccine_target_host,vaccine_model_host,vaccine_delivery_method,vaccine_manufacturer,vaccine_storage_method,vaccine_stage,vaccine_license,vaccine_antigen,vaccine_formulation,vaccine_gene
PMC4826108,full_text,Brucella abortus strain 104M,False,Brucella abortus,Human,,,LanZhou Institute of Biological Products,,licensed,China,,,
PMC2134140,full_text,Brucella abortus strain 19 vaccine; K45/20A vaccine,False,Brucella abortus,cattle,heifers,injection,,,licensed,,Brucella abortus strain 19; killed B. abortus strain 45/20,live attenuated (strain 19); killed with adjuvant (K45/20A),
PMC4107470,full_text,BoΔ wadB and BoΔ wadC mutants,True,Brucella ovis,sheep,BALB/c mice,intraperitoneal injection,,,research,,mutant B. ovis with deletion in wadB or wadC gene (LPS core oligosaccharide-deficient),live attenuated bacterial mutants,"wadB, wadC"
PMC8464292,full_text,rOMP25–OMP31,False,Brucella melitensis,"sheep, goat, human",BALB/c mice,intraperitoneal injection,,dialysed at 4°C overnight,research,,chimeric recombinant OMP25–OMP31 protein,Chitosan nanoparticles (CS-NPs) with recombinant protein,"OMP25 (642 bp), OMP31 (723 bp) from B. melitensis Rev1 strain, linked by EAAAKEAAAK rigid linker"
PMC5026968,full_text,Brucella abortus Δ rpoE1,False,Brucella abortus,mouse,BALB/c mouse,,,,research,,Δ rpoE1 mutant (sigma factor E1 deficient Brucella abortus),,rpoE1
PMC7269176,full_text,"Brucella antigen-CaPNs subunit vaccine candidates (FliC, 7α-HSDH, BhuA, poly B, poly T, poly B+T adsorbed onto calcium phosphate nanoparticles)",True,Brucella melitensis and Brucella abortus,domestic animals and humans,BALB/c mice,subcutaneous injection,,stable at 4°C or room temperature for at least 21 days,research,,"FliC, 7α-HSDH, BhuA, poly B (B cell and CD4+ T cell epitopes), poly T (CD8+ and CD4+ T cell epitopes), poly B+T",recombinant proteins adsorbed onto calcium phosphate nanoparticles (CaPNs),"FliC, 7α-HSDH, BhuA genes cloned from Brucella genome; poly B and poly T designed from FliC, 7α-HSDH, BhuA protein sequences"
PMC8293993,full_text,znBAZ,False,Brucella abortus,human,mouse (BALB/c and C57BL/6),nasal (mucosal),,,research,,"live, double-mutant Brucella abortus (ΔnorD ΔznuA)",live attenuated mutant bacterial strain,ΔnorD ΔznuA
PMC3417389,full_text,Brucella canis virB10::Gm and ΔvirB11::Gm live attenuated mutants,True,Brucella canis,dog,mouse (BALB/c),intraperitoneal injection,,,research,,live attenuated B. canis virB10::Gm and ΔvirB11::Gm mutants,live attenuated bacterial mutants,virB10 and virB11
PMC2681579,full_text,B. melitensis Rev.1,False,Brucella melitensis,,mouse,aerosol,,,research,,,live attenuated,
PMC5053898,full_text,znBAZ,False,Brucella abortus,livestock,mouse,,,,research,,,live attenuated mutant (ΔnorD ΔznuA B. abortus - lacZ),"norD, znuA, lacZ"
PMC4375345,full_text,Brucella abortus strain RB51,False,Brucella abortus,Bison,Bison,,,,research,,Brucella abortus strain RB51,Live attenuated bacterial vaccine,
PMC3361596,full_text,"Invasive E. coli vaccine expressing Brucella melitensis Omp31, Omp16, or BP26",True,Brucella melitensis,mice,mice,recombinant invasive E. coli,,,research,,"Brucella melitensis outer membrane proteins Omp31, Omp16, periplasmic protein BP26",recombinant E. coli expressing Brucella antigens,"Omp31, Omp16, BP26, inv gene from Yersinia pseudotuberculosis, hly gene from Listeria monocytogenes"
PMC5095622,full_text,Brucella abortus GI24-lysed lysate vaccine,True,Brucella abortus,cattle,mouse,"intraperitoneal injection, oral administration",,stored at –20°C in PBS,research,,Brucella abortus biotype 1 cell envelope (lysate with intact LPS),"inactivated bacterial lysate (ghost cells) produced by GI24 peptide lysis, resuspended in PBS",
PMC303217,full_text,Brucella abortus RB51,False,"Brucella abortus, Brucella melitensis, Brucella ovis",,BALB/c mice,live bacterial vaccination,,,research,,Brucella abortus RB51 (rough mutant),live bacteria,
PMC6882340,full_text,Brucella melitensis Rev.1 (Ocurev ®),False,Brucella melitensis,"Capra ibex (Alpine ibex), Capra hircus (domestic goat)","Capra ibex (Alpine ibex), Capra hircus (domestic goat)",conjunctival (ocular) instillation,"CZ Veterinaria, Spain",,research,,live attenuated Brucella melitensis Rev.1 strain (smooth LPS antigen),"live attenuated bacterial vaccine, 1–2 × 10^9 CFU in 35 μL/dose",
PMC7380573,full_text,B. canis RM6/66 Δ vjbR,False,Brucella canis,dog,"mouse (C57BL/6), canine cells (DH82 macrophage-like cells, dendritic cells)","subcutaneous, intraperitoneal",,stored at −80°C in 10% glycerol,research,,live attenuated B. canis RM6/66 Δ vjbR (vjbR gene deletion mutant),live attenuated bacterial vaccine; some groups received Quil-A adjuvant and/or heat-killed lysate; doses of 10^9 CFU in 100 μl PBS,vjbR gene (BCAN_RS10670) deletion (753 bp removed)
PMC3133110,full_text,Brucella melitensis M5-90,False,Brucella melitensis,"goats, sheep",,,,,licensed,,,live attenuated,
PMC2725951,full_text,Brucella melitensis Rev-1,False,Brucella melitensis,small ruminants,,annual mass vaccination campaign,,,licensed,,,,
PMC3254011,full_text,Brucella melitensis OMV vaccine,True,Brucella melitensis,human,mouse (BALB/c),intramuscular,,stored at −20°C,research,,"outer membrane vesicles (OMVs) containing proteins such as Omp25, Omp31, Omp19, Omp16, bp26, SOD, GroES","purified OMVs from smooth B. melitensis 16M and rough mutant B. melitensis VTRM1, resuspended in sterile PBS",
PMC4701739,full_text,B. abortus 2308Δ wbkA,False,Brucella abortus,cattle,BALB/c mice,intraperitoneal injection,,,research,,"Brucella LPS (O-antigen, core oligosaccharide, lipid A); WbkA protein",Live attenuated mutant (wbkA gene deletion),wbkA
PMC6138193,full_text,Brucella abortus S19 and RB51,False,Brucella abortus,cattle,,,,,licensed,,,,
PMC4248782,full_text,Outer Membrane Protein 31 (Omp31) vaccine formulations,False,Brucella canis,dog,BALB/c mouse,subcutaneous,,,research,,recombinant Brucella Omp31,"Omp31 formulated with incomplete Freund adjuvant, aluminum hydroxide, Quil A, Montanide IMS 3012 VGPR; plasmid pCIOmp31; prime-boost with pCIOmp31 and rOmp31",Omp31
PMC8007450,full_text,"Salmonella Typhimurium-based Brucella abortus subunit vaccine (expressing BLS, Omp19, PrpA, or SOD)",True,Brucella abortus,goat,goat,subcutaneous injection,,,research,,"Brucella lumazine synthase (BLS), outer-membrane protein 19 (Omp19), proline racemase subunit A (PrpA), superoxide dismutase (SOD)","Live attenuated Salmonella Typhimurium JOL1800 strains expressing individual Brucella antigens (BLS, Omp19, PrpA, or SOD) at 5 × 10^9 CFU/mL in 1 mL","BLS, Omp19, PrpA, SOD genes from Brucella abortus"
PMC201088,full_text,Brucella Lumazine Synthase (BLS) Subunit Vaccine,True,Brucella abortus,Human,Mouse,Injection,,,research,,Recombinant lumazine synthase from Brucella spp. (rBLS),"rBLS alone or with aluminum hydroxide gel (BLS-Al), monophosphoryl lipid A (BLS-MPA), or incomplete Freund's adjuvant (BLS-IFA)",
PMC3286461,full_text,CobB and AsnC recombinant protein subunit vaccine,True,Brucella abortus,"Cattle, sheep, goats, humans (focus on animal hosts for brucellosis control)",BALB/c mice,Intraperitoneal injection with adjuvant (CFA/IFA),,,research,,Recombinant CobB (BAB1_1316) and AsnC (BAB1_1688) proteins,Purified recombinant proteins plus complete Freund's Adjuvant (CFA) for prime and incomplete Freund's Adjuvant (IFA) for boost,"BAB1_1316 (CobB), BAB1_1688 (AsnC)"
PMC3133323,full_text,"B. melitensis M5, B. melitensis M111, B. suis S2",False,"Brucella melitensis, Brucella suis","livestock, humans",,,,,research,,,,
PMC96196,full_text,Brucella abortus S19 and Brucella melitensis Rev 1,False,"Brucella abortus, Brucella melitensis","Cattle, sheep, goats",,,,,licensed,,"Lipopolysaccharides and polysaccharides with AC, MC, and C epitopes","Crude lipopolysaccharides, hydrolytic O polysaccharides, native hapten polysaccharides",
PMC4166413,full_text,Gamma-irradiated B. neotomae oral vaccine,True,"Brucella spp. (primarily B. abortus, B. melitensis, B. suis)",Humans,BALB/c mice,Oral administration (prime-boost regimen),,Stored at 4°C,research,,"Gamma-irradiated B. neotomae (whole cell), B. neotomae LPS","Gamma-irradiated B. neotomae bacteria suspended in phosphate-buffered saline (PBS), administered after oral sodium bicarbonate",
PMC12640924,full_text,B. abortus S19,False,Brucella abortus,"Cattle and buffalo calves (Bos taurus, Bubalus bubalis)",,Subcutaneous injection (cervical region),"Developed according to Indian Pharmacopoeia (IP) guidelines; antigens for serology from Institute of Animal Health and Veterinary Biologicals (IAH and VB), Bengaluru, India",Freeze-dried; serum samples stored at −20°C; cold chain maintained for cytokine analysis,licensed,Licensed for use in India for prophylaxis of brucellosis in female cattle and buffalo calves,Live attenuated Brucella abortus S19 strain (4 × 10^9 CFU/dose); smooth lipopolysaccharide (sLPS) antigen used for antibody detection,"Freeze-dried live vaccine, reconstituted with diluent, 4 × 10^9 CFU/dose, 2.0 mL per animal, 10-dose vial",
PMC187304,full_text,pcDNA-SOD,False,Brucella abortus,,BALB/c mice,intramuscular injection,,,research,,"Cu,Zn superoxide dismutase (SOD)",plasmid DNA encoding SOD gene,SOD gene
PMC9280603,full_text,AstraZeneca COVID-19 vaccine,False,SARS-CoV-2,Human,,Intramuscular injection,AstraZeneca,,licensed,,,,
PMC2555657,full_text,Brucella abortus strain 19 (19-BA) vaccine and Brucella melitensis Rev 1 vaccine,False,"Brucella abortus, Brucella melitensis",Human,Human,Subcutaneous injection,,,research,,Live attenuated Brucella organisms,Live attenuated vaccine,
PMC6304850,full_text,,True,"Brucella melitensis, Brucella abortus, Brucella suis","humans, domestic animals (sheep, goats, cattle, pigs)",,,,,research,,"Outer membrane and periplasmic proteins, including Omp19, Omp25, Omp31, OmpA, OmpW, TonB-dependent receptor, heme transporter BhuA, iron ABC transporter substrate-binding protein, VirB1, BamD, BamE, LptD, BA14K immunoreactive protein family",Subunit vaccine candidates identified by pan-genome and reverse vaccinology analysis,
PMC6138165,full_text,Brucella abortus S19 vaccine,False,Brucella abortus,cattle (heifers),cattle (heifers),subcutaneous injection,"Onderstepoort Biological Products (OBP), Pretoria, South Africa",serum samples stored at -20°C; vaccine storage method not specified,licensed,Mandatory vaccination in South Africa; recommended by World Organisation for Animal Health (OIE),O-chain lipopolysaccharide,"Live attenuated vaccine, 5 × 10^10 organisms per 5 mL dose",
PMC1307072,full_text,Recombinant Brucella Outer Membrane Protein 31 (rOmp31) vaccine,False,"Brucella melitensis, Brucella ovis",Human,Mouse (BALB/c),Injection with incomplete Freund's adjuvant,,,research,,Recombinant 31-kDa outer membrane protein (Omp31) and a 27-amino-acid synthetic peptide (amino acids 48-74 of Omp31),Recombinant protein or synthetic peptide with incomplete Freund's adjuvant,omp31
PMC7758695,full_text,Brucella abortus strain RB51,False,Brucella abortus,"cattle, bison, elk, swine","cattle, bison, elk, swine",,,,,,,,
PMC4426994,full_text,Brucella melitensis OMV + Pluronic P85 subunit vaccine,True,Brucella melitensis,human,mouse,,,,research,,outer membrane vesicles (OMVs) from Brucella melitensis,OMVs combined with Pluronic P85 adjuvant,
PMC4248768,full_text,pcDNA-SOD/BPPcysMPEG DNA vaccine,True,Brucella abortus,,BALB/c mice,intranasal,,,research,,"Cu,Zn superoxide dismutase (SOD)",DNA plasmid encoding SOD coadministered with BPPcysMPEG adjuvant,SOD-encoding gene
PMC2136813,full_text,Brucella melitensis Rev 1 vaccine,False,Brucella melitensis,"goats, rabbits",rabbits,injection,,,research,,non-dependent mutant from a streptomycin-dependent mutant strain of Brucella melitensis (Rev 1),live attenuated bacterial vaccine,
PMC108437,full_text,Recombinant Brucella abortus S19 expressing Trypanosoma cruzi antigen,True,Trypanosoma cruzi,,,,,,research,,Repetitive antigen of Trypanosoma cruzi,Live recombinant Brucella abortus S19 expressing and secreting T. cruzi antigen,Regulatory sequences and signal peptide of Brucella bcsp31 gene fused to T. cruzi antigen
PMC5041321,full_text,pV270 DNA vaccine,False,Brucella abortus 2308,"bovine, human",BALB/c mouse,intramuscular injection,,,research,,Zn-dependent metalloproteinase (BAB1_0270 ORF),DNA vaccine (recombinant plasmid pV270 in pVAX1 vector),BAB1_0270
PMC4552948,full_text,Brucella ovis ΔabcBA encapsulated with sterile alginate,False,Brucella ovis,sheep (rams),"mouse, sheep (rams)",subcutaneous injection,,,research,,Brucella ovis ΔabcBA mutant strain,live attenuated Brucella ovis ΔabcBA strain encapsulated in sterile alginate capsules,"abcBA (ABC transporter gene, deleted in mutant strain)"
PMC12451122,full_text,Brucella abortus strain 19 vaccine,False,Brucella abortus,cattle,,,"Veterinary Pharmacy Center (PUSVETMA), Ministry of Agriculture, Indonesia",kept cold in a cool box until distribution,licensed,,O-chain antigen,,
PMC12031587,full_text,Bovishield Gold 5,False,Bovine viral diarrhea virus (BVDV),cattle,Hereford cross heifers,injection,Zoetis,,licensed,,BVDV strains (BVDV-1a and BVDV-2a),modified live vaccine (MLV),
PMC4365195,full_text,,False,"Brucella abortus, Brucella melitensis",Cattle,Cattle,,,,research,,Synthetic oligosaccharide antigens representing the capping M epitope elements of Brucella O-polysaccharide,Oligosaccharide-BSA glycoconjugates,
PMC12261702,full_text,B. abortus S19 vaccine strain,False,Brucella abortus,cattle,,subcutaneous injection,"Biocombinat, Ulaanbaatar, Mongolia",,licensed,,live attenuated B. abortus S19 strain,live attenuated bacterial vaccine,
PMC4879022,full_text,ΔznuA B. melitensis,False,Brucella melitensis,"livestock, humans","mice (BALB/c, C57BL/6, CD4−/−, CD8−/−, IFN-γ−/−)",nasal,,,research,,live attenuated ΔznuA mutant of Brucella melitensis,"live attenuated bacterial suspension (ΔznuA B. melitensis, 10^9 CFUs/30 μl in sterile PBS)",znuA (deleted/attenuated)
PMC2772552,full_text,Gamma-irradiated Brucella melitensis vaccine,True,Brucella melitensis,Human,Mouse,,,,research,,"Whole Brucella melitensis (gamma-irradiated, metabolically active)","Gamma-irradiated, nondividing but metabolically active whole-cell vaccine",
PMC228751,full_text,,False,Brucella abortus,"humans, bovines, rams",,,,,research,,26-kilodalton periplasmic protein (BP26),,BP26 gene from Brucella abortus
PMC259654,full_text,Porin-S-LPS and Porin-O Polysaccharide Complex Vaccine,True,Brucella abortus,mouse,mouse,injection,,,research,,"porin, smooth lipopolysaccharide (S-LPS), O polysaccharide",complex of porin and S-LPS; porin covalently bound to purified O polysaccharide; synthetic vaccine containing long chains of O polysaccharide,
PMC2136874,full_text,,False,"Brucella (Brucella suis, Brucella abortus, Brucella melitensis)","guinea pigs, mice, rats","guinea pigs, mice, rats","intraperitoneal injection (guinea pigs), subcutaneous injection (mice)",,,research,,"living, smooth, virulent Brucella (e.g., B. abortus strain a77, B. melitensis), heat-killed Brucella, rough Brucella variants",living smooth Brucella; heat-killed Brucella (60°C for 1 hour); rough Brucella variants,
PMC127889,full_text,pcDNA-BLS,False,Brucella abortus,human,BALB/c mice,intramuscular injection of plasmid DNA,,,research,,lumazine synthase (BLS),DNA plasmid (pcDNA3) encoding BLS gene,BLS gene from Brucella abortus
PMC3417361,full_text,RB51SOD,False,Brucella abortus,cattle,mouse (BALB/c),intraperitoneal injection,,,research,,Cu/Zn superoxide dismutase (SOD),live attenuated recombinant Brucella abortus RB51 overexpressing Cu/Zn SOD,sodC
PMC3170448,full_text,,False,"Brucella melitensis, Mycobacterium avium paratuberculosis, Salmonella enterica Typhimurium",Cattle,Bovine (ligated ileal loop model),,,,research,,,,
PMC11970433,full_text,,False,Brucella abortus,,,,,,,,,,
PMC2168122,full_text,Nonpathogenic Alphaproteobacteria (NPAP) vaccine,True,Brucella abortus,mouse,mouse,"subcutaneous, intraperitoneal, oral",,,research,,"heat-killed Ochrobactrum anthropi, Sinorhizobium meliloti, Mesorhizobium loti, Agrobacterium tumefaciens, Brucella melitensis H38, cytosoluble extracts","heat-killed whole bacteria, cytosoluble extracts",
PMC1489696,full_text,ΔznuA Brucella abortus live attenuated vaccine,True,Brucella abortus,cattle,BALB/c mice,,,,research,,Brucella abortus ΔznuA mutant,live attenuated bacterial vaccine,znuA
PMC96216,full_text,,False,Brucella spp.,"animals (general, with focus on livestock)",mice,,,,research,,O-polysaccharide (O-PS) moiety of smooth lipopolysaccharide (S-LPS),live vaccine strains (Brucella strains devoid of specific O-PS epitopes),
PMC98569,full_text,P39 recombinant protein with CpG oligodeoxynucleotides adjuvant,True,Brucella abortus,,BALB/c mice,injection,,,research,,P39 recombinant protein,P39 recombinant protein mixed with CpG oligodeoxynucleotides (CpG ODN) as adjuvant,
PMC3497404,full_text,,False,Brucella melitensis,human,mouse,,,,research,,,,
PMC263630,full_text,Brucella melitensis Rev 1,False,Brucella melitensis,goat,goat,"subcutaneous, conjunctival",,,licensed,,Brucella melitensis Rev 1 (live attenuated strain),live attenuated,
PMC260865,full_text,"Brucella abortus strain 19 vaccine and nonliving vaccines (killed whole cells, cell envelopes, outer membrane proteins)",False,Brucella abortus,cattle,BALB/c mice,,,,research,,"killed whole cells, cell envelopes, outer membrane proteins","nonliving vaccines in mineral oil with trehalose dimycolate (TDM) and muramyl dipeptide (MDP) adjuvant; cell envelopes in phosphate-buffered saline, incomplete Freund adjuvant, or TDM and MDP adjuvant",
PMC3571281,full_text,"wboA gene deletion rough mutants (Brucella melitensis 16 M-MB6, B. abortus 2308-SB6, B. abortus S19-RB6, B. melitensis NI-NB6)",True,Brucella spp.,sheep,"mice, sheep",,,,research,,wboA gene deletion mutant,live attenuated rough mutant strains,wboA
PMC7171242,full_text,,False,Brucella spp.,human,mouse,,,,,,,,
PMC1273852,full_text,,False,Brucella melitensis,,BALB/c mice,intramuscular DNA vaccination,,,research,,"bp26 (periplasmic protein), trigger factor (TF, chaperone protein)",DNA vaccine (pcDNA3.1 vector containing bp26 and TF genes),"bp26, trigger factor (TF)"
PMC6791230,full_text,Live attenuated Brucella melitensis vaccine (strain M5-90),False,Brucella melitensis,"sheep (original use), tested in rabbits for model development",New Zealand white rabbit,intraosseous injection into lumbar vertebrae,"Xinjiang Tiankang Pharmaceutical Co., Ltd., Urumqi, China",,research,,live attenuated Brucella melitensis (strain M5-90),"suspension of live attenuated Brucella melitensis vaccine strain M5-90 (0.1 ml, 3 × 10^8 CFU/ml)",
PMC3021544,full_text,U-Omp19 plant-made edible vaccine,True,Brucella abortus,"cattle, goats, sheep, swine, humans (potential)","mice (BALB/c, C57BL/6, TLR4−/−)","oral (intragastric), parenteral (intraperitoneal)",Nicotiana benthamiana (tobacco) plant expression system; E. coli recombinant protein expression,freeze-dried plant material; purified protein,research,,Omp19 (outer membrane protein 19) from Brucella abortus,purified recombinant unlipidated Omp19 protein (U-Omp19) from plant or E. coli; crude leaf material expressing U-Omp19; adjuvant-free,"B. abortus Omp19 gene (unlipidated version, lacking signal peptide and N-terminal cysteine)"
PMC1445142,full_text,PI (phenol-extracted fraction from Brucella melitensis),False,Brucella melitensis,Human,,,,,research,,"Phenol-extracted fraction (PI), peptidoglycan-containing fraction (4A)",Phenol-extracted fraction,
PMC5732559,full_text,TMC/Omp31 nanoparticle vaccine,True,Brucella melitensis,human,BALB/c mice,oral and intraperitoneal,,,research,,Omp31 (31 kDa outer membrane protein),Omp31 protein encapsulated in N-trimethyl chitosan (TMC) nanoparticles,Omp31 gene (GenBank Accession Number: JQ965699)
PMC2554991,full_text,Brucella melitensis strain Rev I vaccine,False,Brucella melitensis,human,Cynomolgus philippinensis (monkey),"intracutaneous, subcutaneous",,,research,,Brucella melitensis strain Rev I,live attenuated bacterial cells,
PMC2072475,full_text,Purified killed Brucella abortus vaccine (strain 544),False,Brucella abortus,human,"guinea-pig, mouse",,,,research,,whole-culture extract,"purified killed vaccine, water-in-oil emulsion",
PMC3055878,full_text,Recombinant B. abortus Malate Dehydrogenase (Mdh) Subunit Vaccine,True,Brucella abortus,"Cattle, elk, bison, mice",BALB/c mice,Subcutaneous injection,,Adsorbed overnight at 4°C; stored at −40°C for cytokine analysis,research,,"Malate dehydrogenase (Mdh); also AfuA, D15, Hia, MltE, VirJ, 0187, PrpA (tested)",Purified recombinant protein mixed with aluminum hydroxide adjuvant (Alhydrogel) in PBS,"mdh (malate dehydrogenase gene); also afuA, D15, hia, mltE, virJ, 0187, prpA (tested)"
PMC96019,full_text,Brucella abortus RB51,False,Brucella abortus,sheep,sheep,subcutaneous injection,,,research,,Brucella abortus RB51,live attenuated bacterial vaccine,
PMC4630882,full_text,rOMPs I-ELISA,True,Brucella melitensis,"sheep, goats, humans",BALB/c mice,"subcutaneous injection (for Rev.1 vaccine), intraperitoneal infection (for challenge)",,recombinant proteins and sera stored at −20°C,research,,"recombinant OMP25, OMP28, OMP31 proteins (combined)","recombinant proteins produced in E. coli, purified and combined as ELISA coating antigen","omp25, omp28, omp31"
PMC268318,full_text,Brucella abortus strain 19 and Brucella abortus strain 45/20 vaccines,False,Brucella abortus,cattle,cattle,,,,licensed,,,,
PMC173097,full_text,Soluble Brucella Proteins (SBP) vaccine,False,Brucella,,mouse,immunization with antigenic extracts,,,research,,soluble Brucella proteins,antigenic extracts,
PMC264420,full_text,,False,Brucella abortus,cattle,cattle,injection (intradermal),,,research,,"whole cell, outer membrane, and outer membrane protein antigens (including porin)","nonliving vaccines with trehalose dimycolate and muramyl dipeptide adjuvants, mineral oil",
PMC175420,full_text,Brucella melitensis delta purE201 (strain 201),False,Brucella melitensis,goat,goat,,"National Animal Disease Center, Agricultural Research Service, U.S. Department of Agriculture",,research,,gamma-irradiated Brucella melitensis proteins,live attenuated (purEK deletion mutant),purEK deletion
PMC228357,full_text,,False,Brucella,"cattle, sheep, goats",,,,,,,,,
PMC97582,full_text,Brucella abortus strain RB51 overexpressing Cu/Zn superoxide dismutase (RB51SOD),False,Brucella abortus,Cattle,BALB/c mice,Live attenuated bacterial vaccine,,,research,,Cu/Zn superoxide dismutase (SOD) protein,Live attenuated Brucella abortus strain RB51 transformed with plasmid pBBR1MCS containing sodC gene,sodC
PMC174054,full_text,Brucella melitensis delta purE201 mutant,True,Brucella melitensis,human,BALB/c mice,,,,research,,,,purE (delta purE201 mutant)
PMC95699,full_text,Brucella melitensis Rev1,False,Brucella melitensis,sheep,,,,,,,,,
PMC2849348,full_text,Brucella abortus S19,False,Brucella abortus,cattle,cows,,,,licensed,,Brucella abortus smooth lipopolysaccharide (S-LPS),,
PMC96969,full_text,Brucella melitensis WR201 (16MΔ purEK),False,Brucella melitensis,Human,Mouse,Intraperitoneal,,,research,,Brucella melitensis lipopolysaccharide and non-O-polysaccharide antigens,"Live, attenuated, purine-auxotrophic mutant strain",purEK
PMC4733281,full_text,Rev-1,False,Brucella melitensis,"sheep, goats, cattle",,mass vaccination followed by vaccination of replacements,,careful storage and handling required to preserve efficacy,licensed,,,live vaccine,
PMC98652,full_text,Brucella abortus-OVA conjugate,False,Brucella abortus,mouse,mouse,injection,,,research,,heat-killed Brucella abortus conjugated to ovalbumin,conjugate vaccine (heat-killed Brucella abortus conjugated to ovalbumin),
PMC2555373,full_text,Live brucellosis vaccine,False,Brucella spp.,Humans,,"Subcutaneous, cutaneous",,,research,,,Live vaccine,
PMC127893,full_text,"Recombinant Ochrobactrum anthropi Expressing Brucella abortus Cu,Zn Superoxide Dismutase",False,Brucella abortus,mouse,mouse,bacterial vector (Ochrobactrum anthropi expressing Brucella antigen),,,research,,"Brucella abortus Cu,Zn superoxide dismutase (SOD)",recombinant Ochrobactrum anthropi strain 49237SOD with CpG oligonucleotides,"Brucella abortus Cu,Zn superoxide dismutase gene"
PMC3350799,full_text,Alginate-VpB Microsphere Encapsulated RB51 Vaccine,True,Brucella abortus,Elk (Cervus nelsoni),Red deer (Cervus elaphus),Oral (PO) or Subcutaneous (SC),,,research,,Live Brucella abortus strain RB51,Alginate composite microspheres containing Vitelline protein B (VpB) and live RB51,
PMC3467404,full_text,rOmp28 subunit vaccine,True,Brucella abortus,"cattle, goats, sheep",mouse (BALB/c),intraperitoneal injection,,-20℃,research,,recombinant Omp28 protein,purified recombinant Omp28 protein in incomplete Freund's adjuvant,B. abortus Omp28 gene (Genbank accession No. NC_007618.1)
PMC3122521,full_text,,False,Brucella melitensis,,,,,,,,,,
PMC9828159,full_text,Bison brucellosis DNA vaccine,True,Brucella abortus,Bison (Bison bison),"Bison (Bison bison), mice (previous studies)",Intramuscular injection,,,research,,"Brucella periplasmic protein bp26, chaperone protein trigger factor (TF)",Eukaryotic DNA expression vectors encoding bp26 and TF plus CpG adjuvant,"bp26, trigger factor (TF)"
PMC1317079,full_text,Gamma-irradiated recombinant Brucella abortus RB51G/LacZ,False,Brucella abortus,Bovine,BALB/c mice,Intraperitoneal inoculation,,,research,,Escherichia coli β-galactosidase (LacZ) and Brucella abortus-specific antigens,Gamma-irradiated recombinant live bacteria,lacZ
PMC2869619,full_text,,False,,,,,,,,,,,
PMC174102,full_text,Omp28-based Brucella vaccine,True,Brucella melitensis,human,"mice, goats",,,,research,,Omp28 (outer membrane protein 28 kDa),,Omp28 gene (Brucella melitensis group 3 antigen gene)
PMC1828857,full_text,,False,Brucella melitensis,goat,,,,,,,,,
PMC98663,full_text,Brucella abortus RB51,False,Brucella abortus,mouse,mouse,,,,research,,Brucella abortus RB51,,
PMC257176,full_text,,False,Brucella abortus,cattle,cattle,,,,research,,62-kDa heat shock protein (GroEL family),,groEL
PMC2423109,full_text,Microencapsulated Brucella melitensis vjbR::Tn5 mutant vaccine,True,Brucella melitensis,,BALB/c mice,"Alginate microspheres coated with Fasciola hepatica vitelline protein B (VpB), containing live attenuated mutant",,,research,,Live attenuated Brucella melitensis vjbR::Tn5 mutant (BMEII1116),Microencapsulated live attenuated mutant in alginate microspheres coated with VpB,vjbR::Tn5
PMC186150,full_text,Hot Saline Extract (HS) of Brucella ovis with QS-21 adjuvant,True,Brucella ovis,,BALB/c mice,,,,research,,protein moieties of hot saline extract (HS) of Brucella ovis,HS extract with QS-21 adjuvant,
PMC2137723,full_text,BCG,False,Mycobacterium tuberculosis,human,mouse,intravenous injection,,,licensed,,live attenuated Mycobacterium bovis (BCG strain),live attenuated bacterial suspension,
PMC1189683,full_text,Brucella abortus strain RB51 (SRB51) vaccine,False,Brucella abortus,cattle,mouse,injection,,,research,,Brucella abortus strain RB51,"live or gamma-irradiated (killed) bacteria, with or without recombinant murine interleukin-12",
PMC1594895,full_text,Brucella melitensis Lipopolysaccharide Subunit Vaccine,False,Brucella melitensis,mouse,mouse,"subcutaneous, intranasal",,,research,,Brucella melitensis lipopolysaccharide (LPS),purified LPS or LPS as a noncovalent complex with Neisseria meningitidis group B outer membrane protein (LPS-GBOMP),
PMC4438686,full_text,,False,"Brucella species (Brucella melitensis, Brucella abortus, Brucella suis)","Cattle, sheep, goats, pigs",,,,,,,,,
PMC1459743,full_text,"Attenuated Bioluminescent Brucella melitensis Mutants (GR019, GR024, GR026)",False,Brucella melitensis,Mouse,Mouse (IRF-1−/− and wild-type),,,,research,,"Attenuated Brucella melitensis mutants (virB4, galE, BMEI1090-BMEI1091)",Live attenuated bacterial mutants expressing bioluminescence,"virB4, galE, BMEI1090-BMEI1091"
PMC281320,full_text,,False,Brucella abortus,cattle,bovine,,,,research,,Brucella abortus ssb and uvrA proteins,proteins expressed from genomic library clones,ssb and uvrA
PMC5552303,full_text,Brucella abortus RB51,False,Brucella abortus,"Bos taurus, Bos indicus (cattle)",,"injection (conjunctival route recommended for S19, but RB51 is typically administered via injection)",,,licensed,,"Brucella abortus RB51 (rough strain, devoid of O-chain lipopolysaccharide)",live attenuated bacterial vaccine,
